Value,Label
someone i loved once gave me a box full of darkness it took me years to understand that this too,English
Plus my mama taught me how kill em all kindness maaf ama choro thiss Plus Plus my mama taught me,RomanNep
this lifes hard but its harder if youre stupid this lifes hard but its harder if youre stupid this lifes,English
it is so hard to leaveuntil you leave and then it is the easiest goddamned thing in the world it,English
look again at that dot thats here thats home thats us on it everyone you love everyone you know everyone,English
i love you as certain dark things are loved secretly between the shadow and the soul i love you as,English
music was my refuge i could crawl into the space between the notes and curl my back to loneliness music,English
Mana suni basana Chapak Mana Mana suni basana Chapak Mana Mana suni basana Chapak Mana Mana suni basana Chapak Mana,RomanNep
Vai futey hundai aungsabanda Sawavi Gawar aankha gad dhun katti sunna Tei prasna Vai futey hundai aungsabanda Sawavi Gawar aankha,RomanNep
you can cut all the flowers but you cannot keep spring from coming you can cut all the flowers but,English
fantasy is escapist and that is its glory if a soldier is imprisioned by the enemy dont we consider it,English
i have a history of making decisions very quickly about men i have always fallen in love fast and without,English
time you enjoy wasting is not wasted time time you enjoy wasting is not wasted time time you enjoy wasting,English
the story so farin the beginning the universe was createdthis has made a lot of people very angry and been,English
and he took her in his arms and kissed her under the sunlit sky and he cared not that they,English
Pragati jale baal mula Pragati jale baal mula Pragati jale baal mula Pragati jale baal mula Pragati jale baal mula,RomanNep
books are the perfect entertainment no commercials no batteries hours of enjoyment for each dollar spent what i wonder is,English
lack of direction not lack of time is the problem we all have twentyfour hour days lack of direction not,English
trust your heart if the seas catch fire live by love though the stars walk backward trust your heart if,English
Sudhara aba karma ani laga dharma garna jun hijo samma adekha thyo Timi prabhidi gyan Sudhara Sudhara aba karma ani,RomanNep
its kind of fun to do the impossible its kind of fun to do the impossible its kind of fun,English
Polna thalcha bolna thalchu Taba kholna thalchu Mutu maathi ropyeko dus chura Polna thalcha bolna Polna thalcha bolna thalchu Taba,RomanNep
sometimes you have to lose all you have to find out who you truly are sometimes you have to lose,English
the weak can never forgive forgiveness is the attribute of the strong the weak can never forgive forgiveness is the,English
out of the corner of her eye she thought she saw jace shoot her a look of white rage but,English
monsters are real and ghosts are real too they live inside us and sometimes they win monsters are real and,English
when i do good i feel good when i do bad i feel bad thats my religion when i do,English
rokney kasaile aatdaina Kasaiko rokney kasaile aatdaina Kasaiko rokney kasaile aatdaina Kasaiko rokney kasaile aatdaina Kasaiko rokney kasaile aatdaina Kasaiko,RomanNep
the fact that we live at the bottom of a deep gravity well on the surface of a gas covered,English
i loved you like a man loves a woman he never touches only writes to keeps little photographs of i,English
paanaa aawaaran paanaa aawaaran paanaa aawaaran paanaa aawaaran paanaa aawaaran paanaa aawaaran paanaa aawaaran paanaa aawaaran paanaa aawaaran paanaa aawaaran,RomanNep
what is that feeling when youre driving away from people and they recede on the plain till you see their,English
i must learn to be content with being happier than i deserve i must learn to be content with being,English
paschapati pranali bhatki parisake paschapati pranali bhatki parisake paschapati pranali bhatki parisake paschapati pranali bhatki parisake paschapati pranali bhatki parisake,RomanNep
heard melodies are sweet but those unheard are sweeter heard melodies are sweet but those unheard are sweeter heard melodies,English
nothing takes the taste out of peanut butter quite like unrequited love nothing takes the taste out of peanut butter,English
it is more fun to talk with someone who doesnt use long difficult words but rather short easy words like,English
ah said a voice from the doorway having your annual everyone thinks will is a lunatic meeting are you its,English
life is for the livingdeath is for the deadlet life be like music and death a note unsaid life is,English
after nourishment shelter and companionship stories are the thing we need most in the world after nourishment shelter and companionship,English
reality continues to ruin my life reality continues to ruin my life reality continues to ruin my life reality continues,English
you think the dead we loved ever truly leave us you think that we dont recall them more clearly in,English
every man i meet wants to protect me i cant figure out what from every man i meet wants to,English
what you do makes a difference and you have to decide what kind of difference you want to make what,English
a short story is a different thing altogether a short story is like a quick kiss in the dark from,English
if no one cares for you at all do you even really exist if no one cares for you at,English
to survive you must tell stories to survive you must tell stories to survive you must tell stories to survive,English
growing apart doesnt change the fact that for a long time we grew side by side our roots will always,English
two people in love alone isolated from the world thats beautiful two people in love alone isolated from the world,English
Sayed aru kei lekhey cheena J lek cheena Sayed aru kei lekhey Sayed aru kei lekhey cheena J lek cheena,RomanNep
investigation isabelle laughed now were detectives maybe we should all have code namesgood idea said jace i shall be baron,English
art is the lie that enables us to realize the truth art is the lie that enables us to realize,English
dont waste your time in anger regrets worries and grudges life is too short to be unhappy dont waste your,English
matrai pudke Sangat matrai matrai pudke Sangat matrai matrai pudke Sangat matrai matrai pudke Sangat matrai matrai pudke Sangat matrai,RomanNep
i hope that in this year to come you make mistakesbecause if you are making mistakes then you are making,English
compassion is the basis of morality compassion is the basis of morality compassion is the basis of morality compassion is,English
you will always be fond of me i represent to you all the sins you never had the courage to,English
whatever you do you need courage whatever course you decide upon there is always someone to tell you that you,English
an eye for an eye will only make the whole world blind an eye for an eye will only make,English
it takes courage to grow up and become who you really are it takes courage to grow up and become,English
crying is for plain women pretty women go shopping crying is for plain women pretty women go shopping crying is,English
true love is usually the most inconvenient kind true love is usually the most inconvenient kind true love is usually,English
everything must be made as simple as possible but not simpler everything must be made as simple as possible but,English
promise me youll never forget me because if i thought you would id never leave promise me youll never forget,English
Yeti dherai maya diyi mana bhari dukha na deyou Bato wara para phulne palas tipi sir Yeti dherai maya diyi,RomanNep
yatra Aatma santusti kayam rak sastra Prathamikta buji naban sikar jatra yatra Aatma santusti kayam rak sastra Prathamikta buji naban,RomanNep
vaako didai baaddaichhu sapai tyesaile jigyasa rakhdaichhu vaako didai baaddaichhu sapai tyesaile jigyasa rakhdaichhu vaako didai baaddaichhu sapai tyesaile jigyasa,RomanNep
dont order any of the faerie food said jace looking at her over the top of his menu it tends,English
crying is all right in its way while it lasts but you have to stop sooner or later and then,English
why do people say grow some balls balls are weak and sensitive if you wanna be tough grow a vagina,English
i think you still love me but we cant escape the fact that im not enough for you i knew,English
today is the sort of day where the sun only comes up to humiliate you today is the sort of,English
may you live every day of your life may you live every day of your life may you live every,English
everything tells me that i am about to make a wrong decision but making mistakes is just part of life,English
a girl should be two things classy and fabulous a girl should be two things classy and fabulous a girl,English
hainasab jantu milesi kallai dara Swargiya bhumi sapanama bhara Kagaj note kalpanik shakti hainasab jantu milesi kallai dara Swargiya bhumi,RomanNep
i travel not to go anywhere but to go i travel for travels sake the great affair is to move,English
people think dreams arent real just because they arent made of matter of particles dreams are real but they are,English
Lajja ghrina lagdo namaru Janme khutta badiyeko Bachna paye sapna sachiyeko Paraye bachnu parchha bhanchan Lajja ghrina lagdo namaru Janme,RomanNep
Churo lagai Juro banai Pari kapaal Kurdina sawaal Karishma Rajesh Hamal Baa ley namane lanchu bhagai Churo lagai Juro banai,RomanNep
why are you worrying about youknowwho when you should be worrying about younopoo the constipation sensation thats gripping the nation,English
Sirani vijcha rath kurcha ghat Swartha bides ghumcha rata rat bank fala rakhna aas Kaso rakchas tawile garibi vag gass,RomanNep
Tara sabai sapana nai ho ki Sabai sapana nai ho ki Sabai sapana nai ho ki Tara sabai sapana nai,RomanNep
it gives me strength to have somebody to fight for i can never fight for myself but for others i,English
your task is not to seek for love but merely to seek and find all the barriers within yourself that,English
Gajalu chultho navuli Chamal Gajalu chultho Gajalu chultho navuli Chamal Gajalu chultho Gajalu chultho navuli Chamal Gajalu chultho Gajalu chultho,RomanNep
a girl should be two things who and what she wants a girl should be two things who and what,English
tell the truth or someone will tell it for you tell the truth or someone will tell it for you,English
Khai thaha rumalidai Phone bajchha hello chito aaipuga aai sake ekaichhin Khai Khai thaha rumalidai Phone bajchha hello chito aaipuga,RomanNep
the most beautiful experience we can have is the mysterious it is the fundamental emotion that stands at the cradle,English
there will come a time when all of us are dead all of us there will come a time when,English
bech bikhan byapar cheli aastitho metiyo beglai neyam lekhi pahirey bastra bech bikhan byapar cheli aastitho metiyo beglai neyam lekhi,RomanNep
who are you to judge the life i livei know im not perfectand i dont live to bebut before you,English
illegal aliens have always been a problem in the united states ask any indian illegal aliens have always been a,English
live as if you were to die tomorrow learn as if you were to live forever live as if you,English
once you learn to read you will be forever free once you learn to read you will be forever free,English
accept yourself love yourself and keep moving forward if you want to fly you have to give up what weighs,English
happiness is not something ready made it comes from your own actions happiness is not something ready made it comes,English
its enough for me to be sure that you and i exist at this moment its enough for me to,English
were staying together he promised youre not getting away from me never again were staying together he promised youre not,English
Purano kalakar jhan behal basketball khelna aaudaina giddi nagar Purano kalakar Purano kalakar jhan behal basketball khelna aaudaina giddi nagar,RomanNep
the boy never cried again and he never forgot what hed learned that to love is to destroy and that,English
the worst type of crying wasnt the kind everyone could seethe wailing on street corners the tearing at clothes no,English
i was dead until you found me though i breathed i was sightless though i could see and then you,English
to say goodbye is to die a little to say goodbye is to die a little to say goodbye is,English
Kata kos mirtu huncha aama buba runcha Dosi huncha tesma jaba aafnai dos Kata kos Kata kos mirtu huncha aama,RomanNep
dont be afraid of your fears theyre not there to scare you theyre there to let you know that something,English
bilaula Nasocheko aparichit haula garnu ruwaigayo farki herana bilaula Nasocheko aparichit haula garnu ruwaigayo farki herana bilaula Nasocheko aparichit haula,RomanNep
if pain must come may it come quickly because i have a life to live and i need to live,English
as if you were on fire from withinthe moon lives in the lining of your skin as if you were,English
i cannot teach anybody anything i can only make them think i cannot teach anybody anything i can only make,English
Oth haaso bhaako lukaauna gaarho Bhok laagiraathyo saaro bhaako Sadhai college jaana dhilo bhaako Oth haaso bhaako lukaauna gaarho Bhok,RomanNep
all god does is watch us and kill us when we get boring we must never ever be boring all,English
Chodera lukako dhuki jam Chodera Chodera lukako dhuki jam Chodera Chodera lukako dhuki jam Chodera Chodera lukako dhuki jam Chodera,RomanNep
your beliefs become your thoughts your thoughts become your words your words become your actions your actions become your habits,English
we live for books we live for books we live for books we live for books we live for books,English
the mind once enlightened cannot again become dark the mind once enlightened cannot again become dark the mind once enlightened,English
Talai pachuto khal lutey dhoyeko majjale dekhdina manparyo Talai pachuto Talai pachuto khal lutey dhoyeko majjale dekhdina manparyo Talai pachuto,RomanNep
ive begun to realize that you can listen to silence and learn from it it has a quality and a,English
keep away from people who try to belittle your ambitions small people always do that but the really great make,English
all our dreams can come true if we have the courage to pursue them all our dreams can come true,English
you know when it works love is pretty amazing its not overrated theres a reason for all those songs you,English
Sansaar Kalo aakash Dukhi chas bhane ban Sansaar Kalo aakash Dukhi chas bhane ban Sansaar Kalo aakash Dukhi chas bhane,RomanNep
Angalo badhe chahana badina garchhu chaddina kholi Angalo badhe chahana badina garchhu chaddina kholi Angalo badhe chahana badina garchhu chaddina,RomanNep
yesto Vanda janta chod karaulan yei sor wala neta ayra dinchu Yee hatbadey garney neta mej yesto Vanda janta chod,RomanNep
Mero kalo mukh kalo soch kalo man Sansaar kal ma tyo bhanda ni kalo jhan Kalo raat kalo aakash badal ko ni kalo rang Dukhi chas bhane muji ta ni kalo ban,RomanNep
always do sober what you said youd do drunk that will teach you to keep your mouth shut always do,English
so i love you because the entire universe conspired to help me find you so i love you because the,English
music expresses that which cannot be said and on which it is impossible to be silent music expresses that which,English
education is the most powerful weapon which you can use to change the world education is the most powerful weapon,English
love does not begin and end the way we seem to think it does love is a battle love is,English
selfishness is not living as one wishes to live it is asking others to live as one wishes to live,English
every heart sings a song incomplete until another heart whispers back those who wish to sing always find a song,English
Abav samasya samadhan harlai Lagi shredi sajauni parikchend Abav Abav samasya samadhan harlai Lagi shredi sajauni parikchend Abav Abav samasya,RomanNep
balchu salai Ghanti balchu salai Ghanti balchu salai Ghanti balchu salai Ghanti balchu salai Ghanti balchu salai Ghanti balchu salai,RomanNep
it is sometimes an appropriate response to reality to go insane it is sometimes an appropriate response to reality to,English
thats always seemed so ridiculous to me that people want to be around someone because theyre pretty its like picking,English
Pakha pakha ekchin basa Bharkhar veteko Bhautarinchu malami lyao Pakha pakha ekchin Pakha pakha ekchin basa Bharkhar veteko Bhautarinchu malami,RomanNep
bikri thalay bhittra bessari behe futuai merai tadha bikri thalay bhittra bessari behe futuai merai tadha bikri thalay bhittra bessari,RomanNep
sikari sato satauney sikari sapnasingari aaye Tero antim upaye baki samarpan sikari sato satauney sikari sapnasingari aaye Tero antim upaye,RomanNep
a thing is not necessarily true because a man dies for it a thing is not necessarily true because a,English
books are like mirrors if a fool looks in you cannot expect a genius to look out books are like,English
what matters in life is not what happens to you but what you remember and how you remember it what,English
man may have discovered fire but women discovered how to play with it man may have discovered fire but women,English
it always shocked me when i realized that i wasnt the only person in the world who thought and felt,English
sometimes you read a book so special that you want to carry it around with you for months after youve,English
Praye naramro parichye chindina Praye naramro parichye Praye naramro parichye chindina Praye naramro parichye Praye naramro parichye chindina Praye naramro,RomanNep
but who prays for satan who in eighteen centuries has had the common humanity to pray for the one sinner,English
dont say you dont have enough time you have exactly the same number of hours per day that were given,English
Akanchya sameyti sahaj shai bhayema maafi magnaparcha patakkai manpardainau Akanchya sameyti sahaj Akanchya sameyti sahaj shai bhayema maafi magnaparcha patakkai,RomanNep
every saint has a past and every sinner has a future every saint has a past and every sinner has,English
i thought id lie on the floor and writhe in pain for a while he grunted it relaxes meit does,English
we rip out so much of ourselves to be cured of things faster than we should that we go bankrupt,English
i cant give you a surefire formula for success but i can give you a formula for failure try to,English
your emotions are the slaves to your thoughts and you are the slave to your emotions your emotions are the,English
a human being is a part of the whole called by us universe a part limited in time and space,English
Yeuta table date ate same everyday Manchhe heriraathyo paari Yeuta Yeuta table date ate same everyday Manchhe heriraathyo paari Yeuta,RomanNep
they who can give up essential liberty to obtain a little temporary safety deserve neither liberty nor safety they who,English
im not sentimentalim as romantic as you are the idea you knowis that the sentimental person thinks things will lastthe,English
nasuikar da hawaijahaj chadera aaunechu nasuikar da hawaijahaj chadera aaunechu nasuikar da hawaijahaj chadera aaunechu nasuikar da hawaijahaj chadera aaunechu,RomanNep
youre the first shadowhunter ive ever met thats too bad said jace since all the others you meet from now,English
always find opportunities to make someone smile and to offer random acts of kindness in everyday life always find opportunities,English
if no one in the entire world cared about you did you really exist at all if no one in,English
i dont hate you i just dont like that you exist i dont hate you i just dont like that,English
some infinities are bigger than other infinities some infinities are bigger than other infinities some infinities are bigger than other,English
aakanchya taha sagarmatha harey garum aakanchya taha aakanchya taha sagarmatha harey garum aakanchya taha aakanchya taha sagarmatha harey garum aakanchya,RomanNep
Sabai afnai daju vai didi baini hami Kasari chaldai na afnai le choey ko pani Nirdos pariwar ko kina rujdai cha sirani Afu ta sangit le choey ko birami,RomanNep
if you want to forget something or someone never hate it or never hate himher everything and everyone that you,English
you is kind you is smart you is important you is kind you is smart you is important you is,English
you can only be young once but you can always be immature you can only be young once but you,English
Yad auchha ti mitha pal chhin Hune bilin Man bhitrako bandhan Yad auchha ti mitha pal chhin Hune bilin Man,RomanNep
dont be satisfied with stories how things have gone with others unfold your own myth dont be satisfied with stories,English
the happiness of your life depends upon the quality of your thoughts the happiness of your life depends upon the,English
no matter what he does every person on earth plays a central role in the history of the world and,English
juneli Aslee aukat mah Dui jiu juneli Aslee aukat mah Dui jiu juneli Aslee aukat mah Dui jiu juneli Aslee,RomanNep
isnt it nice to think that tomorrow is a new day with no mistakes in it yet isnt it nice,English
percy wouldnt notice a joke if it danced naked in front of him wearing one of dobbys hats percy wouldnt,English
Huna ikshya Soch khoj guruba Huna ikshya Huna ikshya Soch khoj guruba Huna ikshya Huna ikshya Soch khoj guruba Huna,RomanNep
ekdam khabar asli ghokante bidhya gar masti Bandaina amar hasti khojdaima sutra jabarjasti Paap punya sunya ekdam khabar asli ghokante,RomanNep
im coming back into focus when caesar asks him if he has a girlfriend back home peeta hesitates then gives,English
when the snows fall and the white winds blow the lone wolf dies but the pack survives when the snows,English
to douchebags he said gesturing to brad and to girls that break your heart he bowed his head to me,English
if you can make a woman laugh you can make her do anything if you can make a woman laugh,English
have no fear of perfection youll never reach it have no fear of perfection youll never reach it have no,English
morning is wonderful its only drawback is that it comes at such an inconvenient time of day morning is wonderful,English
when the first baby laughed for the first time its laugh broke into a thousand pieces and they all went,English
dont give in to your fears if you do you wont be able to talk to your heart dont give,English
all grownups were once children but only few of them remember it all grownups were once children but only few,English
the surest way to corrupt a youth is to instruct him to hold in higher esteem those who think alike,English
why did you do all this for me he asked i dont deserve it ive never done anything for you,English
kiss me and you will see how important i am kiss me and you will see how important i am,English
dekhe katai bhetina Khoi pattai payina basyo hamima Aakhama rakhe thakina dekhe katai bhetina Khoi pattai payina basyo hamima Aakhama,RomanNep
not all those who wander are lost not all those who wander are lost not all those who wander are,English
bhgayo koriyeka swikara tita sabia swikara bhgayo bhgayo koriyeka swikara tita sabia swikara bhgayo bhgayo koriyeka swikara tita sabia swikara,RomanNep
Timle galat paunnau najarma Swargako apsara baschha jaha Pugchhu tyaha samjhada Timle galat paunnau Timle galat paunnau najarma Swargako apsara,RomanNep
ive never been lonely ive been in a room ive felt suicidal ive been depressed ive felt awful awful beyond,English
Sanka sankoch juina bhawana rogi royi bashthye hun pokhi bhujhdaina padkin barud goli Sanka sankoch juina bhawana rogi royi bashthye,RomanNep
we are just an advanced breed of monkeys on a minor planet of a very average star but we can,English
dance when youre broken open dance if youve torn the bandage off dance in the middle of the fighting dance,English
kapas Chhaina gharbar thadinchha durbar hunechhaina aawos jo sarkar padai magne dina sakchha sikshya kapas Chhaina gharbar thadinchha durbar hunechhaina,RomanNep
all good books are alike in that they are truer than if they had really happened and after you are,English
the past has no power over the present moment the past has no power over the present moment the past,English
you only live once but if you do it right once is enough you only live once but if you,English
Gardai jaa je garchas badlas ta marchas Aula dhadai haschas muji sansar rahecha circus Sabai jana darsak jiwan bhayo natak,RomanNep
Purino jeans dashain kine juuta Im comfortable despite m hallidai hiphop sundai Purino jeans dashain kine juuta Im comfortable despite,RomanNep
it was books that made me feel that perhaps i was not completely alone they could be honest with me,English
when the heart speaks the mind finds it indecent to object when the heart speaks the mind finds it indecent,English
knowing others is intelligenceknowing yourself is true wisdommastering others is strength mastering yourself is true power knowing others is intelligenceknowing,English
you have brains in your head you have feet in your shoes you can steer yourself any direction you choose,English
to see a world in a grain of sand and a heaven in a wild flower hold infinity in the,English
who being loved is poor who being loved is poor who being loved is poor who being loved is poor,English
did you really want to dieno one commits suicide because they want to diethen why do they do itbecause they,English
man is the only creature who refuses to be what he is man is the only creature who refuses to,English
not everything is about you clary said furiouslypossibly jace said but you do have to admit that the majority of,English
tei chattur chaal chal ka sa sana samridda tei tei chattur chaal chal ka sa sana samridda tei tei chattur,RomanNep
libraries were full of ideasperhaps the most dangerous and powerful of all weapons libraries were full of ideasperhaps the most,English
dont tell me jace said simons turned himself into an ocelot and you want me to do something about it,English
dont feel bad im usually about to die dont feel bad im usually about to die dont feel bad im,English
i like nonsense it wakes up the brain cells fantasy is a necessary ingredient in living i like nonsense it,English
you are my best friend as well as my lover and i do not know which side of you i,English
Bhagwan bhani dhunga maney janey chin sun Bhagwan bhani dhunga maney Bhagwan bhani dhunga maney janey chin sun Bhagwan bhani,RomanNep
words can be like xrays if you use them properly theyll go through anything you read and youre pierced words,English
you live like this sheltered in a delicate world and you believe you are living then you read a book,English
history will be kind to me for i intend to write it history will be kind to me for i,English
time is an illusion lunchtime doubly so time is an illusion lunchtime doubly so time is an illusion lunchtime doubly,English
you speak an infinite deal of nothing you speak an infinite deal of nothing you speak an infinite deal of,English
i had already found that it was not good to be alone and so made companionship with what there was,English
hearts are made to be broken hearts are made to be broken hearts are made to be broken hearts are,English
our lives begin to end the day we become silent about things that matter our lives begin to end the,English
but if thought corrupts language language can also corrupt thought but if thought corrupts language language can also corrupt thought,English
Je dekhincha satya badi pose dine chuplag Pach guna pyas tin guna prayas kaamko thakan dobbar Prashna chinha uthaune aija,RomanNep
every one of us is in the cosmic perspective precious if a human disagrees with you let him live in,English
if you look for perfection youll never be content if you look for perfection youll never be content if you,English
you cannot find peace by avoiding life you cannot find peace by avoiding life you cannot find peace by avoiding,English
reading one book is like eating one potato chip reading one book is like eating one potato chip reading one,English
Om dollar shivaye pidi bigridai Om dollar shivaye pidi bigridai Om dollar shivaye pidi bigridai Om dollar shivaye pidi bigridai,RomanNep
dont think of it as dying said death just think of it as leaving early to avoid the rush dont,English
three may keep a secret if two of them are dead three may keep a secret if two of them,English
no good deed goes unpunished no good deed goes unpunished no good deed goes unpunished no good deed goes unpunished,English
no amount of regretting can change the past and no amount of worrying can change the future no amount of,English
i took a deep breath and listened to the old brag of my heart i am i am i am,English
i dont like people who have never fallen or stumbled their virtue is lifeless and it isnt of much value,English
usually we walk around constantly believing ourselves im okay we say im alright but sometimes the truth arrives on you,English
theres nothing like deep breaths after laughing that hard nothing in the world like a sore stomach for the right,English
tis the privilege of friendship to talk nonsense and to have her nonsense respected tis the privilege of friendship to,English
its not the load that breaks you down its the way you carry it its not the load that breaks,English
gardai apuro gardai apuro gardai apuro gardai apuro gardai apuro gardai apuro gardai apuro gardai apuro gardai apuro gardai apuro,RomanNep
i heard what you said im not the silly romantic you think i dont want the heavens or the shooting,English
we are addicted to our thoughts we cannot change anything if we cannot change our thinking we are addicted to,English
i dont suffer from my insanity i enjoy every minute of it i dont suffer from my insanity i enjoy,English
i could easily forgive his pride if he had not mortified mine i could easily forgive his pride if he,English
i fell in love with you smartass because you were one of usbecause you werent afraid of me and you,English
if you live to be a hundred i want to live to be a hundred minus one day so i,English
there are wounds that never show on the body that are deeper and more hurtful than anything that bleeds there,English
Hola Hari Ram Shyam Vola mitho Hola Hari Ram Hola Hari Ram Shyam Vola mitho Hola Hari Ram Hola Hari,RomanNep
